example,sample,context,filtered,numeral,noun,standard,expression,tung/rus,num_type,num_semantics,num_composite,noun_semantics,wo,mass_noun,comment,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection,all
"Она == хвост\/ там, там было {{три}} стойбища\ - Сорголь ...",large_sample,три стойбища,,три,стойбища,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Она == хвост\/ там, там было {{три}} стойбища\ - Сорголь ..."
"Вот, например, у меня/ ... на простой/ халат я дня {{четыре\}} затрачиваю",large_sample,дня четыре,,четыре,дня,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajskijDom (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Вот, например, у меня/ ... на простой/ халат я дня {{четыре\}} затрачиваю"
"Ну ему лет {{12-13}} было, вот такой самый возраст.",large_sample,лет двенадцать-тринадцать,,двенадцать,лет,standard,gen_pl,rus,main,d_eleven-nineteen,,time,noun_num,other,,standard,Kondon,F,higher,Nanai,sds,1944,ShamanSAmura&RodovyjeDerevja (sds) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: sds; yob: 1944] Ну ему лет {{12-13}} было, вот такой самый возраст."
{{Больше}} никого,excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] {{Больше}} никого
У них было {{три}} сына\,,три сына,,три,сына,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] У них было {{три}} сына\
Я бы уж {{больше}} лучше бы молчала тогда,excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] \n [mav] Я бы уж {{больше}} лучше бы молчала тогда
{{Меньше}} будет голова у нее болеть за другое,excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] \n [mav] {{Меньше}} будет голова у нее болеть за другое
"{{Больше}}, в основном, нанайское, наверное",excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,Razgovory (gkb&ssa&mav) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] \n [mav] {{Больше}}, в основном, нанайское, наверное"
Еще {{больше}} {ПЕРЕКЛ},excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Еще {{больше}} {ПЕРЕКЛ}
{{Девять}} штук мантО на коврик <шум> положила.,,девять штук манто,,девять,штук манто,standard,gen_pl,rus,main,b_five-ten,,measure,num_noun,other,,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,SluchajShamankaVAmerike (itg) [2017],online-corpus_202104,[pob: Sira camp; gender: F; edu: secondary; lng: Nanai; speaker: itg; yob: 1945] {{Девять}} штук мантО на коврик <шум> положила.
"Да {{шестой,}} пятый== {{шестой,}} седьмой, восьмой класс",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioRanjsheVDudi (lnl&nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Да {{шестой,}} пятый== {{шестой,}} седьмой, восьмой класс"
Каждые четы= {{три}} разА в день/ ложке по т= столовой ложке\,large&small_sample,три разА,,три,разА,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Каждые четы= {{три}} разА в день/ ложке по т= столовой ложке\
А {{одиннадцать}} ээ ещё не исполнилось ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] А {{одиннадцать}} ээ ещё не исполнилось ...
Ну моего брат= брат== на {{два}} года старше меня,large_sample,два года,,два,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kojma,F,secondary,Ulcha,lnd,1940,BioRovesnikiSobiralisj (lnd) [2020],online-corpus_202104,[pob: Kojma; gender: F; edu: secondary; lng: Ulcha; speaker: lnd; yob: 1940] \n [lnd] Ну моего брат= брат== на {{два}} года старше меня
"Булавинские приезжали, помнишь, {{столько==}}",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioRanjsheVDudi (lnl&nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Булавинские приезжали, помнишь, {{столько==}}"
"После {{сороково,}} после войны...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioRusskijeVDudi (nao&lnl) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] После {{сороково,}} после войны..."
"Вот {{семья}} одна, на примере одной {{семьи}}",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Вот {{семья}} одна, на примере одной {{семьи}}"
"{{Шестидесятых}} годов её книга у меня пропала вот, по ульчам",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioRanjsheVDudi (lnl&nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] {{Шестидесятых}} годов её книга у меня пропала вот, по ульчам"
"У него... {{две}} дочери, у внука, у Ш[авката]",large_sample,две дочери,,два,дочери,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Kojma,F,secondary,Ulcha,lnd,1940,BioUzbekskajaVnuchka (lnd) [2020],online-corpus_202104,"[pob: Kojma; gender: F; edu: secondary; lng: Ulcha; speaker: lnd; yob: 1940] \n [lnd] У него... {{две}} дочери, у внука, у Ш[авката]"
Вот на {{сколько}} ... можно было всё это ... видеть ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajShamankaIndjaka (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Вот на {{сколько}} ... можно было всё это ... видеть ...
Давали за {{два}} месяца... пенсию,large_sample,два месяца,,два,месяца,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kojma,F,secondary,Ulcha,lnd,1940,BioDetiVnuki&DorogaDoDudi (lnd) [2020],online-corpus_202104,[pob: Kojma; gender: F; edu: secondary; lng: Ulcha; speaker: lnd; yob: 1940] Давали за {{два}} месяца... пенсию
С {{семьёй}} ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] С {{семьёй}} ...
"Даже у нас было, помню я, {{сколько}} как ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Даже у нас было, помню я, {{сколько}} как ..."
К своему стыду я вот ... аэ ... {{много}} в общем...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioRodstvenniki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] К своему стыду я вот ... аэ ... {{много}} в общем...
"В {{восьмидесятых,}} когда ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioRusskijeVDudi (nao&lnl) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] В {{восьмидесятых,}} когда ..."
Теперь уже за {{два...}} месяца не дают,large_sample,два месяца,,два,месяца,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kojma,F,secondary,Ulcha,lnd,1940,BioDetiVnuki&DorogaDoDudi (lnd) [2020],online-corpus_202104,[pob: Kojma; gender: F; edu: secondary; lng: Ulcha; speaker: lnd; yob: 1940] \n [lnd] Теперь уже за {{два...}} месяца не дают
А {{сколько}} мне было?,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] А {{сколько}} мне было?
"Посмотри-ка, {{скольких}} у нас уже нет",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioRodstvenniki (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] Посмотри-ка, {{скольких}} у нас уже нет"
"Вот заставь меня щас, я, наверное, не смог {{столько}} сделать ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Вот заставь меня щас, я, наверное, не смог {{столько}} сделать ..."
"Ээ, в {{сорок}} каком году, в 47-м, 8-м году у нас, 7-м ли ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Ээ, в {{сорок}} каком году, в 47-м, 8-м году у нас, 7-м ли ..."
Так она {{сколько}} жила эта баб Люся ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Так она {{сколько}} жила эта баб Люся ...
"И вот, ... сядут на эту {{двухвёсельную}} лодку ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] И вот, ... сядут на эту {{двухвёсельную}} лодку ..."
"Когда в первый раз дали мне {{две}} пенсии,",large_sample,две пенсии,,два,пенсии,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kojma,F,secondary,Ulcha,lnd,1940,BioDetiVnuki&DorogaDoDudi (lnd) [2020],online-corpus_202104,"[pob: Kojma; gender: F; edu: secondary; lng: Ulcha; speaker: lnd; yob: 1940] Когда в первый раз дали мне {{две}} пенсии,"
"И ехали мы часа {{два,}} наверное",large_sample,часа два,,два,часа,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,standard,Kojma,F,secondary,Ulcha,lnd,1940,BioUzbekskajaVnuchka (lnd) [2020],online-corpus_202104,"[pob: Kojma; gender: F; edu: secondary; lng: Ulcha; speaker: lnd; yob: 1940] И ехали мы часа {{два,}} наверное"
Или их {{двое}} было,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Или их {{двое}} было
"Я говорю, мы уже на {{столько}} отвыкли разговаривать",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Я говорю, мы уже на {{столько}} отвыкли разговаривать"
Потом... дня {{три==}} вечера {{три}} ходила к ней,large_sample,вечера три,,три,вечера,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,standard,Kojma,F,secondary,Ulcha,lnd,1940,BioStariki (lnd) [2020],online-corpus_202104,[pob: Kojma; gender: F; edu: secondary; lng: Ulcha; speaker: lnd; yob: 1940] \n [lnd] Потом... дня {{три==}} вечера {{три}} ходила к ней
"Где-то {{десять,}} наверное, чenm по-меньше, наверное ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Где-то {{десять,}} наверное, чenm по-меньше, наверное ..."
"Там, наверное, ещё {{меньше}} ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Там, наверное, ещё {{меньше}} ..."
Она прожила {{больше}} ста лет,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioRodstvenniki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] Она прожила {{больше}} ста лет
"{{Три}} девочки, а вс==",large_sample,три девочки,,три,девочки,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Kojma,F,secondary,Ulcha,lnd,1940,BioAleksandrDjatala (lnd) [2020],online-corpus_202104,"[pob: Kojma; gender: F; edu: secondary; lng: Ulcha; speaker: lnd; yob: 1940] \n [lnd] {{Три}} девочки, а вс=="
